Applied Loan Amount,Applied Loan Tenor,Age,Monthly Housing/Rental,Monthly Income,Office (Area),Indicators,Loan Purpose_Personal use,Loan Purpose_Tax Payment,Loan Purpose_Settle Loan / Credit Card O/S,Loan Purpose_Stand by,Loan Purpose_Decoration,Loan Purpose_Investment,Loan Purpose_Car Purchase,Loan Purpose_Business,Loan Purpose_Marriage,Loan Purpose_Education,Gender_M,Marital Status_num,Education Level_num,Residential Status_Live With Relatives,Residential Status_Rental,Residential Status_Mortgaged Private Housing,Residential Status_Self-owned Private Housing,Residential Status_Self-owned Public Housing,Residential Status_Company Provision,Residential Status_Mortgaged Public Housing,Employment Type_Fixed Income Earner,Employment Type_Civil Servant,Employment Type_Non Fixed Income Earner,Employment Type_Self-Employed,Nature of Business_Manager,Nature of Business_Office Worker,Nature of Business_Services,Nature of Business_Executive,Nature of Business_Owner of a Business,Nature of Business_Sales,Nature of Business_Professional,Nature of Business_Skilled Worker,Nature of Business_Driver,Nature of Business_Guard,Nature of Business_Unskilled Worker,Nature of Business_Factory Worker,Nature of Business_Construction Trades,Job Position_Private,Job Position_Government/Semi-Government,Job Position_Self Employed,Job Position_Public
60000,24,22.301,0.0,10245.0,2.0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
100000,60,33.159,0.0,10000.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70000,36,35.573,1200.0,23000.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
200000,60,36.288,0.0,38000.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30000,36,30.573,980.0,12000.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
90000,24,36.463,9788.0,10000.0,2.0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
60000,24,43.353,0.0,9200.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000,12,35.803,0.0,18000.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
150000,60,31.959,6500.0,20916.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
300000,60,31.156,0.0,38000.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60000,36,24.375,4000.0,12800.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30000,24,50.515,2000.0,6552.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150000,36,38.397,500.0,26000.0,3.0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60000,24,25.562,1600.0,9300.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
500000,36,37.866,3300.0,51120.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000,60,25.408,0.0,9000.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20000,36,45.918,0.0,13700.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
100000,24,49.745,0.0,50000.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
700000,36,42.575,8000.0,63000.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
200000,24,37.718,0.0,13000.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000,24,24.523,0.0,9000.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100000,36,29.904,0.0,12000.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30000,24,22.438,800.0,10000.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
170000,60,31.09,1500.0,17100.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000,24,52.329,0.0,18400.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96000,48,27.534,0.0,10100.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25000,18,38.247,2000.0,17500.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30000,12,40.266,0.0,2240.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20000,12,35.923,7000.0,17900.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30000,24,33.529,4860.0,12500.0,3.0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60000,48,30.014,4200.0,13500.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
50000,48,39.699,0.0,13000.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
150000,60,31.696,0.0,20000.0,3.0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
125000,60,36.381,0.0,12500.0,2.0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150000,18,52.085,2149.0,32000.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25000,12,60.521,0.0,7500.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120000,60,49.86,0.0,14250.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100000,36,64.485,0.0,10000.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
160000,48,41.049,2200.0,18000.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
60000,24,63.318,0.0,8700.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50000,48,44.263,0.0,8550.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000,24,36.584,0.0,11500.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100000,60,31.238,0.0,12000.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70000,24,43.734,0.0,9500.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
100000,60,34.137,3600.0,10500.0,2.0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50000,24,66.529,1300.0,7000.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10000,6,44.975,0.0,13000.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
500000,48,37.11,10000.0,62000.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60000,24,44.518,0.0,11700.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000,18,39.951,1100.0,8000.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50000,24,29.825,0.0,12000.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
